anchor,positive,negative
60110,34620,52950
55029,7451,73555
227410,214389,29237
223994,156838,173039
40214,34853,28245
64679,60199,29445
176656,215004,118775
158406,131837,10545
197725,144088,59520
139463,64770,95282
2759,218429,1737
127563,226410,69310
57662,227418,46138
191397,169087,116709
223996,10749,35740
205692,158332,84854
35960,223042,32733
39175,215150,177912
215315,166109,52276
124851,229463,69728
217962,133556,60487
131502,214529,215308
170900,124920,215033
214536,182324,223609
121199,36851,37149
214570,60215,52150
35500,215250,24736
227941,231556,26006
152294,204680,10480
60190,227952,226747
205460,218133,43722
205708,7748,117163
35949,215153,38869
36745,183669,29917
9362,227142,118196
55687,214406,74124
154344,217273,53325
30290,218163,26929
202952,162323,77705
228354,49012,218093
5004,60118,151626
156036,35453,45593
227195,64966,160849
131689,214938,16611
227055,9158,59220
227113,181004,163361
227647,3086,168478
228766,35437,3499
60098,206456,223608
9872,56375,18147
155521,57455,184950
191400,194533,56805
37535,226877,80474
197886,224786,177891
3009,142249,23323
223429,163855,43914
60201,204766,1456
7958,69030,135486
227148,222681,44140
34007,205099,208690
221713,8794,157998
216211,60003,112539
118771,209866,124826
214946,168411,1117
206450,56641,50840
60244,210032,5972
49151,227862,9274
137162,8128,42461
221259,8909,52276
227273,220820,45566
214449,215062,228789
129314,204150,45454
70941,9362,132448
205116,43360,143873
4477,32948,215052
42138,226829,215002
55045,125403,46262
60228,228867,48537
208126,64867,216811
39476,209924,9264
4262,223853,53863
146185,218096,40278
172697,154652,221624
127362,39750,126579
204057,133222,15700
64863,129497,34315
7750,206107,49556
224952,209928,218198
228450,131323,198395
4108,55755,19252
227353,169284,207949
4480,206211,218095
209869,162915,178970
143975,204484,138847
228333,170865,78758
170862,168375,81231
37535,157753,87564
9439,168630,231650
225079,169104,227517
35856,941,215195
219291,205484,17472
223730,55157,215750
195953,60175,51659
206109,227127,225856
204498,228963,226826
9377,163493,73189
218131,208727,222536
199722,164034,35941
143876,48409,25258
162955,60298,15726
226837,122202,175144
124326,216389,67567
206953,168293,88163
227371,215259,39175
204689,10743,44469
206976,69086,175288
60053,57600,57642
36922,226544,153642
35872,204496,74682
60267,57099,223633
162902,41829,1328
5925,54381,227722
210761,131899,213770
175261,35638,156834
228454,111252,223810
39743,175176,41671
212059,35538,1675
175241,8096,150824
170920,152798,194561
214390,231918,6824
223644,60217,216284
205545,46891,167018
10935,214401,15899
215130,226629,66685
224853,228335,293
215253,65034,1310
59509,226886,92994
51657,227024,50603
36846,227149,74682
58942,214153,2785
148592,175115,111615
60165,8063,166952
33357,142251,156231
39755,227025,227209
118185,124320,9324
146945,214646,6315
214661,206955,66428
169267,65487,179307
30838,227928,150710
225335,223963,111283
124924,214455,53323
206965,220720,165736
224824,181241,35257
129845,227337,58065
214987,204791,1504
227440,205479,25255
39257,223650,42118
111151,164053,229886
138656,205720,200902
65241,119598,59353
7407,194535,4574
100759,3939,89736
219293,225321,225652
34347,30727,165736
205671,191370,65385
157357,213871,158265
35665,223649,89307
165922,225374,70798
69163,60207,72314
155480,39259,223449
32999,60225,24164
117826,144024,59840
60957,125440,73197
60077,221230,35265
205490,2904,144951
48078,32802,220343
146487,39541,7098
214481,160849,32365
205545,212058,127987
225389,9982,227074
59514,180477,180056
123671,7987,118507
124917,222923,48306
56406,54360,35564
197786,168386,171025
227129,92617,1469
214979,57310,58724
209935,59169,35514
55118,215220,225411
38994,227211,144927
172660,204690,222679
4085,218145,209992
200652,92186,50944
221485,225242,43759
227038,64897,45644
205473,215061,215147
174606,35942,214967
205668,205487,45494
175400,209945,55142
116754,125402,218599
205878,74243,23870
151771,55682,55057
205116,223060,89569
205214,191401,88517
39748,60289,110889
223986,150724,9983
172775,204484,163051
35698,214201,168430
220713,209949,103731
223861,137162,137
10202,43337,214378
214630,152793,129282
51692,168294,65018
2929,39214,66084
224952,227248,214647
214584,214719,21610
226723,6333,211396
214699,223922,28697
163052,60296,74646
65322,172800,215353
65494,131112,206816
35545,217002,224771
228342,49012,127362
5269,221134,17447
214721,205522,66441
54703,9429,231100
42679,180215,170931
208728,51656,25007
227241,39755,62231
228970,139545,43637
151519,174586,63626
42564,168524,228805
49136,11261,42638
40236,35664,175208
162941,226629,170510
226838,204498,2989
228969,4307,44851
228453,175236,72321
34928,154640,155487
206971,226558,122824
36984,11270,65439
171007,214526,164042
3532,227072,178063
172751,180837,56670
60480,33715,125899
160942,121171,205464
214391,214147,42610
157263,214985,67451
10150,205563,131118
168337,58913,169843
110412,42873,150464
173175,100762,212577
226561,228651,85527
214747,171005,214463
170918,227071,73305
59483,59999,78589
223423,175269,149506
214382,223945,11246
16600,216402,205723
172791,231415,1504
227030,205524,131752
60049,40074,4912
205713,58695,69506
145163,229830,43614
39683,232207,50296
208660,34004,227721
32928,148595,43728
215146,65503,43158
34787,206918,44124
10584,125404,1778
214604,225340,195869
214679,8916,1522
55045,10966,88982
59987,7382,60188
9371,174609,45283
143789,205513,63658
169278,215266,43868
160849,215190,138700
223659,180276,158710
156079,7976,50753
65486,205537,134210
205472,175612,11952
9234,215173,43820
173294,217573,44874
169967,215335,166952
117834,136257,15701
60183,231352,38843
209872,172745,160621
148016,215027,215334
6018,11590,205585
175143,168383,49263
173380,227397,33362
215251,10786,48318
194471,214623,215350
180525,195080,25218
161036,216303,66577
2619,210184,103906
3499,65463,11978
42827,214469,205487
111151,9442,32396
217279,10770,36693
39651,8205,99277
55677,231481,65458
4471,227409,85528
118094,227823,166362
35314,197391,166669
168403,205118,11758
180746,208612,213802
175198,170937,72331
220818,35706,48423
60146,171124,181179
60205,9347,76571
139401,55078,55007
59996,199722,9859
69047,10582,110295
214982,58919,125453
209860,228765,45452
169086,133139,71078
65882,214740,215175
122807,183450,169342
57969,231380,44459
59428,40074,46663
227106,4280,214684
225348,227159,162902
116239,228763,36348
51052,214752,222347
168305,38869,51266
9383,35526,26169
9835,131468,215320
223997,163056,175164
154497,35732,6645
33845,11343,387
175007,68681,8562
205754,177576,49277
49824,214445,106530
208612,39564,53072
59134,136631,4799
215266,226803,175348
55031,36693,145000
215292,205456,194802
60168,60247,57964
8026,205748,83976
214717,216328,172800
51918,211395,87764
227332,227080,150303
223918,214744,103299
39098,128996,71370
170992,222929,39253
183499,214712,175181
35562,231926,152519
204767,168432,157174
92632,171072,10770
168307,223039,168250
35802,225316,218086
175167,225083,57957
172715,60047,136260
58919,3536,104019
35575,215028,43223
207574,149090,45336
227240,168254,172752
9397,50078,47923
11436,227980,218926
209999,214492,112569
227129,153633,210028
7888,168312,88565
223401,168490,131319
125417,40128,74395
64783,223641,68676
65458,54368,232215
214964,36420,209782
227336,3099,62994
60167,164198,222084
227247,147209,130908
175264,154839,165788
55677,214755,37487
139531,60225,125450
60264,160780,131548
216476,218125,199085
134315,136137,115473
180875,205877,143236
217284,37131,28322
226829,216211,88404
223037,40000,177377
41959,209927,195931
60108,227276,24956
225083,214746,51446
148754,225371,131317
143650,145761,89946
214544,30633,45342
228782,42100,12014
232252,40202,149155
205692,168389,69667
215150,209989,24359
210028,35790,41725
206995,205105,55989
8105,57854,136333
208733,172715,230282
161035,197645,206951
116243,214998,40243
215054,139943,14356
228964,42679,227057
226707,218198,50435
60154,223736,12229
60201,145346,35931
227291,223981,175215
223033,93322,1768
170397,214395,60962
156838,231915,64639
208552,223947,28916
151949,171110,34922
10373,172804,44111
39086,60121,125085
163873,153637,88051
54402,162955,87564
10775,43219,45417
210740,204491,79158
35528,5940,144417
206988,5475,88340
227929,168467,126832
142257,137428,172379
43505,222114,14080
168350,148251,57144
215222,227261,123342
174028,60248,164187
51052,205713,137159
231436,55140,156584
194774,214602,44432
223421,10581,43205
48583,224392,228984
61206,3087,65473
173648,209880,332
48493,9324,65035
205112,136098,133292
206952,160780,212258
231926,35583,27150
122651,9331,61359
227191,9452,44384
217861,55018,8019
153889,228343,36288
35315,209931,139760
54021,3733,98135
169087,83882,47919
57099,10223,229650
228348,55059,130923
55791,225653,215405
142202,59470,206207
168271,51151,206976
217124,226820,55647
227123,215031,218435
42105,231089,61223
214549,226798,226530
227260,151546,55963
227395,214974,87673
140988,64739,214462
92882,215273,148928
214579,171596,57535
161036,214735,218542
227808,124923,60248
8031,55040,169479
144138,218144,41633
48493,112465,92988
225369,169090,92190
214983,214581,164823
216281,74064,165761
174028,227825,155885
225637,227323,71348
8035,35870,930
10560,35511,58935
205701,209844,138850
168461,64879,50331
206119,217281,35650
7933,55683,71411
48197,201360,14792
39004,4109,152520
30727,52495,44167
2839,143966,216402
153817,127866,65716
214751,158300,123178
201133,157384,55132
223972,42283,136020
214639,37101,145228
100761,229968,180526
42283,200653,177131
162366,208643,167018
50924,227196,55032
209874,55731,56703
134837,11278,1398
171827,42024,78884
139497,39154,71329
172746,111594,51446
123870,209936,176668
231716,65371,11469
160849,8062,68639
102719,158341,55677
55059,64864,89606
210007,214937,102987
226544,119686,53936
231055,40219,28700
41565,168302,172969
9839,221249,223810
168379,43127,131952
56477,35756,225359
215177,41990,159437
6560,210017,60078
214474,168264,225867
226820,95327,132946
60001,6015,157246
227044,53972,152400
139387,197998,147719
125443,11644,17733
51911,210186,180727
215113,215160,215227
49421,112672,223976
170705,51692,209992
116243,7968,144065
48297,204790,75813
119624,35747,216318
227277,228453,101114
35649,64845,14661
9304,197866,168332
49012,54021,86369
147625,137163,29989
224509,228977,136493
204492,175247,125741
208693,225322,63055
35960,146939,50725
227151,4109,26150
133913,35533,45468
41356,169967,35954
172811,60775,224919
50050,9421,156731
170890,168422,65823
172774,10774,47910
217971,194472,74646
205196,10937,107763
212100,196357,87485
175210,224271,63610
227058,60130,2880
152294,42151,21647
155514,10758,67487
152495,43335,53366
199722,214667,128026
10625,9421,139886
216273,227118,20111
204678,136645,59247
34615,227405,45055
48191,938,64213
4374,231054,92020
111728,35454,145478
219474,173294,83339
35875,35815,206714
204780,143994,56453
226629,229832,50287
170942,45673,75838
60297,223405,9517
10138,205477,53359
175152,9240,179531
35647,175269,229623
118185,214675,17577
231920,215090,35450
75816,123667,215179
213870,223445,1491
215083,10625,84783
60282,172800,198534
48646,215088,215151
2759,223939,133373
229477,206580,9953
164043,175713,226594
218086,6333,125786
39827,214935,1685
54402,157354,17415
11420,109884,157208
214644,175241,156030
206952,208574,35128
43488,922,17660
125429,164050,45833
191400,8066,61796
205501,3002,35502
10556,57925,106381
36773,215272,209458
129269,218393,74394
224194,172740,21067
48326,223636,138547
57963,5736,1161
179553,131054,208692
225351,35599,145305
205880,36494,85914
56656,198256,145913
6984,154425,141932
4086,227201,75426
205504,229454,92926
229341,59996,92730
95382,175810,21313
215277,148769,84798
48645,215216,73248
183564,175260,45048
205214,225301,209995
210033,227212,217234
214757,55689,210001
8196,172809,195773
215369,33114,131206
2776,35448,214224
7384,231697,216317
196209,216390,55669
205481,43245,229568
60000,56425,131837
227328,62281,226745
60167,216321,222122
164049,108260,139931
2858,219067,84876
209972,30717,110637
8036,223853,89882
197898,151546,81882
205748,170900,139687
215187,9281,24758
229155,142143,136727
206994,214500,25189
228425,9339,156732
155503,170864,1403
10778,145761,88355
227741,227477,228127
155506,42579,214364
49135,169568,19217
30759,125458,152389
226197,9393,134220
175257,9803,497
125410,55147,224215
52499,34620,61703
6670,35851,44815
48194,11436,175291
220605,54435,214583
219474,227353,1693
32637,227041,231920
55768,205776,172904
42157,208093,50468
59518,209939,126827
210035,30737,84903
168390,231922,43223
168288,206968,24717
60302,8153,49284
8042,216313,132982
208099,127333,22570
214537,60961,183839
144848,139321,229797
160940,124324,103363
168308,213881,170455
215220,38627,42121
206984,60248,1200
224853,35581,23614
218178,229968,51188
145580,58918,224238
8019,164034,55018
39004,61668,8801
56641,214995,152395
2793,9234,143851
2991,145377,218013
49513,227308,76211
214605,60650,224746
168493,11907,155509
43085,172651,69069
64863,60235,217964
10872,92749,42683
209966,50038,70523
223404,172752,165723
214525,39755,143860
154344,134839,23241
225316,214547,177359
35548,227142,219484
219464,168435,41653
60657,223945,205703
227287,150796,177792
223855,55647,44111
209959,223961,96999
223156,204493,166610
229456,60098,133685
9411,204021,1736
225909,208696,73243
55143,2881,67351
60072,48309,195698
4472,35748,131765
214763,180975,212538
11266,168306,18147
143959,35581,65591
134221,205531,55796
223983,223970,131951
35705,210009,56898
129497,42080,180868
57579,54368,111211
232000,220605,44550
60243,205463,227030
214537,122980,159581
194477,9373,81024
228345,155479,214605
162934,58111,166671
156230,152066,158614
39253,205122,169989
9353,144134,215924
227142,68681,150820
199113,217945,60106
33259,60197,150726
38521,117817,214606
37105,35497,47061
168523,150599,7226
224195,39745,17332
168489,60046,144454
9333,154498,217931
7645,10460,226749
151511,197538,64201
136138,229364,1679
227251,173293,41236
226730,48580,149564
223043,3597,45194
61658,214499,12173
228349,9293,116161
117826,228970,210061
64092,215270,222807
157377,215209,64561
215145,210161,36250
170861,9161,10963
227280,10857,60540
215313,51391,195681
215375,36487,1759
164745,227233,48983
227363,51605,150819
228416,145225,215151
229343,161176,168628
215301,227950,195925
214402,227381,227725
204779,35579,171827
227103,122980,18191
35694,227230,107089
163058,125788,45488
10554,142949,1527
143665,131855,177542
214150,9400,26513
172786,205534,52244
157382,41990,38775
8127,217004,121204
9413,227030,10763
117838,219561,223927
221237,220701,8010
40113,205111,55147
168431,213871,44585
221909,215352,215441
60073,41310,14
35913,59987,224236
9343,55137,148959
123667,169539,228348
215157,58942,170327
35650,55276,67458
151751,59481,60198
7932,64979,66430
9399,125465,65311
215059,35637,69518
226416,131112,53143
221350,46444,119655
34797,228405,171749
231352,184237,86837
64679,10770,53360
6051,203996,180965
225180,227375,18641
172905,175548,159446
213736,204778,115444
35711,65019,55505
6315,180820,152389
229450,225082,110731
49816,227435,49511
164045,140063,63558
40113,2877,76794
210145,35949,150079
35528,54445,23287
212319,135131,44577
55664,228345,101139
172775,55464,44340
124916,206056,168256
227068,209836,49881
49623,223022,228070
169262,174326,1285
4151,68690,115482
206968,226420,223023
215362,36984,45148
53474,209871,115448
130298,214626,133913
225079,9388,227248
227270,216398,23123
6321,214704,70396
205514,9322,50082
3992,9878,149507
65037,228867,209503
221267,209845,29018
210022,64868,7901
205479,214479,21858
231922,184642,36420
120952,168405,12786
125457,10853,204790
214532,208705,168443
216619,227525,1747
223403,58679,130890
197803,155476,68751
170481,55690,14352
7892,227082,168253
205560,214492,72052
179582,35492,136393
215131,57334,141472
35867,223406,59929
3342,168327,215221
57666,179582,118234
218508,169291,152788
139299,227817,16264
30354,227382,154427
54445,206990,95
226551,168372,51052
180963,55139,175195
228990,231919,225623
215369,222459,223654
224416,168322,146700
59526,223719,57969
227957,10223,47054
55493,210758,65487
148195,208548,150643
55026,64609,183528
36746,123733,35645
35152,43245,17676
214435,218151,183
215031,213269,1822
209925,7989,92344
3261,175240,86789
206929,206926,140109
231346,153944,60284
214989,10051,44984
227078,227187,57833
214535,225322,44115
9252,142958,224120
6050,64170,1667
204761,60146,22076
213990,175149,50356
55661,9331,4896
206161,168375,215810
64948,139516,84890
143681,216405,10746
35500,168318,46125
163024,211389,6097
133636,200639,44820
7384,221254,133032
205119,9158,61643
66790,209985,44041
151291,224222,199963
75832,168334,55732
35790,170444,214356
11410,59266,198720
209924,10951,8962
11341,205206,205106
59136,35499,177481
7989,225250,168481
156050,54400,9311
148595,156049,170455
42302,208867,55057
174086,2879,1505
171442,34041,13038
175376,208708,175813
10584,183590,15637
215371,205468,13513
60034,51321,225335
112526,229338,94976
209889,142170,21795
9362,36926,62443
170397,231352,22431
43593,229358,62486
223657,6122,227375
7921,214623,141371
163852,174153,44589
9526,35533,59933
215218,42648,29858
9933,172732,89801
197882,227259,137857
55110,39564,1818
153943,223964,23272
30631,61137,43728
184835,215380,9383
205497,204779,204432
221199,215268,43445
224392,35496,46357
175414,133149,52885
215313,64871,5070
34167,215357,60472
227825,169099,58065
154640,229968,50061
8040,59691,60175
221059,42874,53359
42813,58515,1684
225236,10967,60841
210244,8287,214538
168399,172758,4243
180698,223400,27529
944,168433,14818
215084,226189,75542
227310,215280,145621
123390,158362,49829
41310,51458,166453
231918,227204,197502
175208,144024,35652
213875,8034,72331
224786,194467,8340
204042,39688,183379
215259,177719,45262
42109,40146,73296
225359,214694,165733
6662,223943,1490
228763,59518,43858
175799,8007,12939
197590,8801,25762
162869,935,4898
194760,126609,204498
143443,168454,224132
154839,175205,65551
170492,175266,8041
225432,60158,163057
139280,3408,64429
214572,206137,165653
214980,175285,220485
125434,204771,170931
226725,64903,35517
9376,11112,34187
223035,65110,26390
209892,43085,191372
32654,213990,58395
215253,7921,215294
208660,60049,69995
4551,214593,111097
2881,34171,10585
168299,168417,165871
151511,229658,75252
226421,59497,153356
221943,164048,65114
50746,215215,60189
212286,157384,14356
227251,214732,151946
32802,215232,45178
220603,217284,214394
30651,227404,205487
227187,38874,225241
122287,225652,179307
183769,213880,4914
163058,151529,60168
227131,223857,227294
175374,210760,168461
223306,48283,112372
224169,57616,214247
4572,7934,172996
59517,229455,49979
220802,64760,168260
227039,205554,48340
9353,7391,282
214500,68680,222679
9852,51056,133913
194559,218148,116239
214453,231380,36528
218187,218515,126814
50719,139701,43074
4140,35414,228136
58806,227996,26483
171481,42349,56
227981,9806,43828
64866,35652,92988
174818,92183,60259
219352,9232,13834
146567,35790,178096
56427,214552,183499
42155,214970,53356
205460,60143,103358
38468,227949,48327
226410,9459,74429
55018,9156,184124
153799,43485,214458
36987,212059,51835
152803,43587,71530
51151,219565,163945
35802,9262,228994
92192,183564,62656
9317,64893,146579
62545,144624,229083
40202,139450,215375
175180,216391,23962
133770,231720,133969
174822,9334,89968
40078,173333,62204
197924,205119,139544
227375,175197,209424
10859,215008,146413
220621,168258,24567
7734,149312,1585
217955,32785,219508
142252,168475,29723
155504,214660,17076
54375,214158,218344
227059,137190,131947
153750,65270,45153
205456,210195,171076
55025,223392,133013
122798,35801,12187
5208,57951,35969
175246,227087,214986
32667,40134,228104
227127,223941,4759
227100,228393,4241
225376,226707,53327
220621,35563,212054
222396,9270,198144
33353,156262,229597
64607,60099,9447
55134,11539,24887
136253,216405,58099
58775,46315,46447
221195,35739,227811
169481,39295,152804
41574,159744,207950
175612,123613,194502
229462,57310,35954
168437,55044,205499
208713,121162,226594
117834,119619,67447
117752,73912,11924
213990,214476,205370
206981,206959,17569
162323,153629,139250
214146,208712,214377
229827,137163,62839
122646,210748,1107
205748,42109,229049
55034,215319,56937
169277,156597,172684
122171,205522,107080
227160,215007,87065
218129,49406,165807
212340,51310,218914
223169,35128,151074
9368,204483,129021
175250,7399,453
205535,60109,215178
11574,168290,45964
55276,42301,106469
214440,64695,126512
206993,227948,223042
60153,208082,172755
35622,223037,169785
8028,7928,229343
216340,205515,227410
150796,227037,155549
172740,223625,83246
221237,222922,55780
37843,205129,71666
64864,215249,34304
214528,215070,13062
205489,60229,42979
223039,61657,53365
216320,153766,69743
164043,9491,60046
227426,135049,50603
60131,117826,50418
227738,171076,60289
117824,9872,69642
214528,133770,72052
35969,215139,221479
215221,7933,50028
227105,175153,24927
227059,214969,51137
60244,227264,33708
215287,39259,42510
55793,226545,24925
214438,39752,46161
218655,10029,225883
215285,161036,142883
214718,194307,60011
205476,37479,69942
55041,191396,1804
38046,183705,19873
143967,9379,32686
214579,204775,89385
216228,60070,51194
60304,63490,24638
9420,169104,224045
231015,43492,218655
10898,194318,226709
227370,163000,3226
204765,228972,52624
51457,125468,50629
173296,191372,143700
194307,217002,60208
214515,209855,42106
205882,183435,29819
140988,8218,227237
164210,210064,207556
120008,59511,227204
39115,214491,81616
163013,205539,191364
227208,225660,61234
39258,227087,231677
39259,223962,33327
7924,209988,106530
168484,150236,172781
42126,36479,60487
151508,168247,177482
58692,129845,41898
3961,9367,146688
126609,223635,66627
9457,227821,60438
214649,92192,123390
160926,214619,231913
176593,169624,43223
209924,172805,12818
59514,214380,24567
175407,60277,150833
169967,55132,48825
217861,168390,55889
65086,35550,204413
216312,208525,89
10898,39704,53352
58913,183533,140012
213876,8207,35787
49809,183330,124059
158332,57089,227041
232122,162928,206112
156100,213880,103303
214509,35741,64889
6520,231697,228046
168400,227153,122768
9360,145913,133697
143876,214493,227256
35539,151547,50506
169340,139622,117157
55005,7916,164034
8041,194802,1617
10764,154197,13190
9246,227249,143859
35634,168331,35600
43505,48078,227200
128495,147127,213722
59677,51691,1006
8214,210244,15478
7325,58208,94911
64892,35514,153628
221190,93322,47539
50924,215002,165761
59494,175528,225577
210764,174910,65299
215024,214495,65474
170918,223860,53344
215068,214508,140506
219352,151523,127434
205560,10105,9493
138164,6125,66618
215277,60282,151618
2840,8383,88254
35537,204787,182673
148593,35860,228970
9246,39746,76869
10772,222443,17
218015,215149,82035
156060,18567,209911
172784,146567,42672
162926,153737,52270
172673,56427,43849
207584,215187,1125
10554,175157,74418
172788,220828,227814
208653,204089,222313
205475,170918,63775
59485,204038,221188
40234,128495,214236
35617,60305,125655
67767,4405,207581
40184,220606,52401
37032,209879,73325
7645,37062,67430
140351,197643,4150
155500,50083,180120
57333,39440,35963
55045,161888,217281
60245,214716,49386
3874,168330,220819
35151,218192,227417
168307,3939,162040
56107,10898,39142
51457,227039,85528
205370,214581,175149
214459,215151,175187
57677,225391,148295
219079,175619,46179
172715,214154,55155
9983,9411,208483
57331,10026,92215
47920,221616,184833
43120,181753,14762
194533,55039,159416
2906,211389,214361
43038,35529,164874
4085,226653,56022
153889,30725,28700
55039,137189,1653
39975,175315,228181
223925,169967,52586
215333,218090,215330
194349,129462,225245
